model,class,metric,mean,sd,is_best
Li24 (GAT),C8,f1,0.874,0.022,0
Li24 (GCN),C8,precision,0.88,0.041,0
Li24 (GCN),C8,recall,0.893,0.037,0
Li24 (GCN),C8,f1,0.886,0.026,0
MoGCN,C8,precision,0.836,0.052,0
MoGCN,C8,recall,0.899,0.029,1
MoGCN,C8,f1,0.865,0.03,0
MOGNN-TF (GAT),C8,precision,0.901,0.027,0
MOGNN-TF (GAT),C8,recall,0.885,0.047,0
MOGNN-TF (GAT),C8,f1,0.892,0.027,1
MOGNN-TF (GCN),C8,precision,0.903,0.04,1
MOGNN-TF (GCN),C8,recall,0.878,0.029,0
MOGNN-TF (GCN),C8,f1,0.89,0.025,0
Li24 (GAT),C9,precision,0.91,0.034,1
Li24 (GAT),C9,recall,0.906,0.071,0
Li24 (GAT),C9,f1,0.906,0.038,0
Li24 (GCN),C9,precision,0.891,0.05,0
Li24 (GCN),C9,recall,0.899,0.044,0
Li24 (GCN),C9,f1,0.895,0.04,0
MoGCN,C9,precision,0.895,0.041,0
MoGCN,C9,recall,0.956,0.04,1
MoGCN,C9,f1,0.924,0.027,1
MOGNN-TF (GAT),C9,precision,0.888,0.068,0
MOGNN-TF (GAT),C9,recall,0.916,0.055,0
MOGNN-TF (GAT),C9,f1,0.9,0.041,0
MOGNN-TF (GCN),C9,precision,0.905,0.041,0
MOGNN-TF (GCN),C9,recall,0.906,0.048,0
MOGNN-TF (GCN),C9,f1,0.904,0.027,0
Li24 (GAT),C10,precision,0.654,0.072,0
Li24 (GAT),C10,recall,0.701,0.044,0
Li24 (GAT),C10,f1,0.674,0.044,0
Li24 (GCN),C10,precision,0.669,0.041,0
Li24 (GCN),C10,recall,0.748,0.055,0
Li24 (GCN),C10,f1,0.705,0.032,1
MoGCN,C10,precision,0.555,0.024,0
MoGCN,C10,recall,0.774,0.028,1
MoGCN,C10,f1,0.646,0.022,0
MOGNN-TF (GAT),C10,precision,0.662,0.072,0
MOGNN-TF (GAT),C10,recall,0.703,0.079,0
MOGNN-TF (GAT),C10,f1,0.675,0.027,0
MOGNN-TF (GCN),C10,precision,0.681,0.037,1
MOGNN-TF (GCN),C10,recall,0.707,0.069,0
MOGNN-TF (GCN),C10,f1,0.691,0.029,0
Li24 (GAT),C11,precision,0.973,0.022,1
Li24 (GAT),C11,recall,0.985,0.009,0
Li24 (GAT),C11,f1,0.979,0.01,1
Li24 (GCN),C11,precision,0.949,0.033,0
Li24 (GCN),C11,recall,0.991,0.008,0
Li24 (GCN),C11,f1,0.97,0.018,0
MoGCN,C11,precision,0.869,0.036,0
MoGCN,C11,recall,0.998,0.005,1
MoGCN,C11,f1,0.929,0.021,0
MOGNN-TF (GAT),C11,precision,0.959,0.023,0
MOGNN-TF (GAT),C11,recall,0.983,0.026,0
MOGNN-TF (GAT),C11,f1,0.971,0.017,0
MOGNN-TF (GCN),C11,precision,0.965,0.025,0
MOGNN-TF (GCN),C11,recall,0.983,0.024,0
MOGNN-TF (GCN),C11,f1,0.973,0.015,0
Li24 (GAT),C12,precision,0.982,0.014,1
Li24 (GAT),C12,recall,0.978,0.02,0
Li24 (GAT),C12,f1,0.98,0.009,0
Li24 (GCN),C12,precision,0.979,0.016,0
Li24 (GCN),C12,recall,0.979,0.014,0
Li24 (GCN),C12,f1,0.979,0.009,0
MoGCN,C12,precision,0.962,0.024,0
MoGCN,C12,recall,0.98,0.014,0
MoGCN,C12,f1,0.971,0.014,0
MOGNN-TF (GAT),C12,precision,0.979,0.015,0
MOGNN-TF (GAT),C12,recall,0.985,0.019,1
MOGNN-TF (GAT),C12,f1,0.982,0.01,0
MOGNN-TF (GCN),C12,precision,0.981,0.021,0
MOGNN-TF (GCN),C12,recall,0.985,0.013,1
MOGNN-TF (GCN),C12,f1,0.982,0.008,1
Li24 (GAT),C13,precision,0.44,0.034,0
Li24 (GAT),C13,recall,0.379,0.114,0
Li24 (GAT),C13,f1,0.398,0.071,0
Li24 (GCN),C13,precision,0.46,0.058,1
Li24 (GCN),C13,recall,0.422,0.078,0
Li24 (GCN),C13,f1,0.438,0.063,0
MoGCN,C13,precision,0.435,0.084,0
MoGCN,C13,recall,0.318,0.067,0
MoGCN,C13,f1,0.363,0.064,0
MOGNN-TF (GAT),C13,precision,0.456,0.09,0
MOGNN-TF (GAT),C13,recall,0.506,0.156,1
MOGNN-TF (GAT),C13,f1,0.469,0.091,1
MOGNN-TF (GCN),C13,precision,0.442,0.083,0
MOGNN-TF (GCN),C13,recall,0.487,0.1,0
MOGNN-TF (GCN),C13,f1,0.458,0.07,0
Li24 (GAT),C14,precision,0.778,0.036,0
Li24 (GAT),C14,recall,0.789,0.091,0
Li24 (GAT),C14,f1,0.78,0.045,0
Li24 (GCN),C14,precision,0.768,0.048,0
Li24 (GCN),C14,recall,0.797,0.066,0
Li24 (GCN),C14,f1,0.78,0.033,0
MoGCN,C14,precision,0.801,0.019,1
MoGCN,C14,recall,0.81,0.02,1
MoGCN,C14,f1,0.805,0.01,1
MOGNN-TF (GAT),C14,precision,0.779,0.056,0
MOGNN-TF (GAT),C14,recall,0.801,0.044,0
MOGNN-TF (GAT),C14,f1,0.787,0.024,0
MOGNN-TF (GCN),C14,precision,0.795,0.038,0
MOGNN-TF (GCN),C14,recall,0.804,0.047,0
MOGNN-TF (GCN),C14,f1,0.798,0.024,0
Li24 (GAT),C15,precision,0.797,0.029,0
Li24 (GAT),C15,recall,0.89,0.058,0
Li24 (GAT),C15,f1,0.84,0.033,0
Li24 (GCN),C15,precision,0.787,0.043,0
Li24 (GCN),C15,recall,0.902,0.038,0
Li24 (GCN),C15,f1,0.84,0.033,0
MoGCN,C15,precision,0.775,0.036,0
MoGCN,C15,recall,0.949,0.032,1
MoGCN,C15,f1,0.853,0.027,1
MOGNN-TF (GAT),C15,precision,0.8,0.046,0
MOGNN-TF (GAT),C15,recall,0.881,0.055,0
MOGNN-TF (GAT),C15,f1,0.836,0.027,0
MOGNN-TF (GCN),C15,precision,0.807,0.04,1
MOGNN-TF (GCN),C15,recall,0.906,0.041,0
MOGNN-TF (GCN),C15,f1,0.852,0.015,0
Li24 (GAT),C16,precision,0.981,0.013,0
Li24 (GAT),C16,recall,0.995,0.009,0
Li24 (GAT),C16,f1,0.988,0.007,0
Li24 (GCN),C16,precision,0.984,0.012,0
Li24 (GCN),C16,recall,0.991,0.009,0
Li24 (GCN),C16,f1,0.988,0.007,0
MoGCN,C16,precision,0.982,0.013,0
MoGCN,C16,recall,0.995,0.005,0
MoGCN,C16,f1,0.989,0.008,0
MOGNN-TF (GAT),C16,precision,0.983,0.018,0
MOGNN-TF (GAT),C16,recall,0.995,0.007,0
MOGNN-TF (GAT),C16,f1,0.989,0.009,0
MOGNN-TF (GCN),C16,precision,0.986,0.011,1
MOGNN-TF (GCN),C16,recall,0.997,0.005,1
MOGNN-TF (GCN),C16,f1,0.991,0.006,1
Li24 (GAT),C17,precision,0.466,0.106,0
Li24 (GAT),C17,recall,0.337,0.091,0
Li24 (GAT),C17,f1,0.384,0.08,0
Li24 (GCN),C17,precision,0.525,0.087,0
Li24 (GCN),C17,recall,0.442,0.049,0
Li24 (GCN),C17,f1,0.476,0.049,0
MoGCN,C17,precision,0.467,0.08,0
MoGCN,C17,recall,0.14,0.032,0
MoGCN,C17,f1,0.212,0.035,0
MOGNN-TF (GAT),C17,precision,0.447,0.115,0
MOGNN-TF (GAT),C17,recall,0.41,0.118,0
MOGNN-TF (GAT),C17,f1,0.418,0.099,0
MOGNN-TF (GCN),C17,precision,0.531,0.101,1
MOGNN-TF (GCN),C17,recall,0.467,0.086,1
MOGNN-TF (GCN),C17,f1,0.491,0.08,1
Li24 (GAT),C18,precision,0.707,0.065,0
Li24 (GAT),C18,recall,0.689,0.078,0
Li24 (GAT),C18,f1,0.693,0.036,0
Li24 (GCN),C18,precision,0.757,0.058,0
Li24 (GCN),C18,recall,0.707,0.045,0
Li24 (GCN),C18,f1,0.73,0.046,0
MoGCN,C18,precision,0.671,0.055,0
MoGCN,C18,recall,0.648,0.067,0
MoGCN,C18,f1,0.657,0.044,0
MOGNN-TF (GAT),C18,precision,0.756,0.092,0
MOGNN-TF (GAT),C18,recall,0.805,0.086,1
MOGNN-TF (GAT),C18,f1,0.773,0.037,1
MOGNN-TF (GCN),C18,precision,0.78,0.058,1
MOGNN-TF (GCN),C18,recall,0.77,0.115,0
MOGNN-TF (GCN),C18,f1,0.769,0.06,0
Li24 (GAT),C19,precision,0.793,0.038,0
Li24 (GAT),C19,recall,0.843,0.054,0
Li24 (GAT),C19,f1,0.816,0.035,0
Li24 (GCN),C19,precision,0.815,0.025,0
Li24 (GCN),C19,recall,0.87,0.048,0
Li24 (GCN),C19,f1,0.84,0.024,1
MoGCN,C19,precision,0.683,0.015,0
MoGCN,C19,recall,0.927,0.033,1
MoGCN,C19,f1,0.786,0.014,0
MOGNN-TF (GAT),C19,precision,0.832,0.041,0
MOGNN-TF (GAT),C19,recall,0.839,0.044,0
MOGNN-TF (GAT),C19,f1,0.834,0.023,0
MOGNN-TF (GCN),C19,precision,0.841,0.026,1
MOGNN-TF (GCN),C19,recall,0.843,0.063,0
MOGNN-TF (GCN),C19,f1,0.841,0.032,1
Li24 (GAT),C20,precision,0.698,0.059,0
Li24 (GAT),C20,recall,0.722,0.055,1
Li24 (GAT),C20,f1,0.706,0.024,0
Li24 (GCN),C20,precision,0.761,0.045,0
Li24 (GCN),C20,recall,0.719,0.051,0
Li24 (GCN),C20,f1,0.737,0.029,0
MoGCN,C20,precision,0.71,0.023,0
MoGCN,C20,recall,0.701,0.035,0
MoGCN,C20,f1,0.705,0.026,0
MOGNN-TF (GAT),C20,precision,0.796,0.046,1
MOGNN-TF (GAT),C20,recall,0.69,0.049,0
MOGNN-TF (GAT),C20,f1,0.737,0.022,0
MOGNN-TF (GCN),C20,precision,0.776,0.048,0
MOGNN-TF (GCN),C20,recall,0.713,0.067,0
MOGNN-TF (GCN),C20,f1,0.74,0.031,1
Li24 (GAT),C21,precision,0.809,0.167,0
Li24 (GAT),C21,recall,0.606,0.187,0
Li24 (GAT),C21,f1,0.665,0.162,0
Li24 (GCN),C21,precision,0.817,0.185,1
Li24 (GCN),C21,recall,0.697,0.18,0
Li24 (GCN),C21,f1,0.723,0.085,0
MoGCN,C21,precision,0.0,0.0,0
MoGCN,C21,recall,0.0,0.0,0
MoGCN,C21,f1,0.0,0.0,0
MOGNN-TF (GAT),C21,precision,0.785,0.196,0
MOGNN-TF (GAT),C21,recall,0.818,0.174,0
MOGNN-TF (GAT),C21,f1,0.788,0.161,0
MOGNN-TF (GCN),C21,precision,0.766,0.142,0
MOGNN-TF (GCN),C21,recall,0.879,0.151,1
MOGNN-TF (GCN),C21,f1,0.799,0.084,1
Li24 (GAT),C22,precision,0.781,0.088,0
Li24 (GAT),C22,recall,0.764,0.074,1
Li24 (GAT),C22,f1,0.768,0.054,0
Li24 (GCN),C22,precision,0.822,0.091,0
Li24 (GCN),C22,recall,0.73,0.086,0
Li24 (GCN),C22,f1,0.77,0.07,0
MoGCN,C22,precision,0.905,0.08,1
MoGCN,C22,recall,0.703,0.09,0
MoGCN,C22,f1,0.786,0.055,1
MOGNN-TF (GAT),C22,precision,0.811,0.089,0
MOGNN-TF (GAT),C22,recall,0.759,0.086,0
MOGNN-TF (GAT),C22,f1,0.778,0.052,0
MOGNN-TF (GCN),C22,precision,0.804,0.071,0
MOGNN-TF (GCN),C22,recall,0.757,0.074,0
MOGNN-TF (GCN),C22,f1,0.775,0.036,0
Li24 (GAT),C23,precision,0.753,0.132,0
Li24 (GAT),C23,recall,0.682,0.087,0
Li24 (GAT),C23,f1,0.706,0.062,0
Li24 (GCN),C23,precision,0.739,0.095,0
Li24 (GCN),C23,recall,0.664,0.175,0
Li24 (GCN),C23,f1,0.69,0.128,0
MoGCN,C23,precision,0.887,0.097,1
MoGCN,C23,recall,0.455,0.151,0
MoGCN,C23,f1,0.587,0.12,0
MOGNN-TF (GAT),C23,precision,0.682,0.091,0
MOGNN-TF (GAT),C23,recall,0.755,0.163,1
MOGNN-TF (GAT),C23,f1,0.708,0.109,1
MOGNN-TF (GCN),C23,precision,0.715,0.084,0
MOGNN-TF (GCN),C23,recall,0.7,0.134,0
MOGNN-TF (GCN),C23,f1,0.696,0.061,0
Li24 (GAT),C25,precision,0.769,0.115,0
Li24 (GAT),C25,recall,0.636,0.134,0
Li24 (GAT),C25,f1,0.693,0.117,0
Li24 (GCN),C25,precision,0.803,0.067,0
Li24 (GCN),C25,recall,0.761,0.066,1
Li24 (GCN),C25,f1,0.779,0.046,0
MoGCN,C25,precision,0.273,0.41,0
MoGCN,C25,recall,0.006,0.009,0
MoGCN,C25,f1,0.013,0.018,0
MOGNN-TF (GAT),C25,precision,0.784,0.067,0
MOGNN-TF (GAT),C25,recall,0.693,0.072,0
MOGNN-TF (GAT),C25,f1,0.733,0.049,0
MOGNN-TF (GCN),C25,precision,0.824,0.062,1
MOGNN-TF (GCN),C25,recall,0.748,0.065,0
MOGNN-TF (GCN),C25,f1,0.783,0.054,1
Li24 (GAT),C26,precision,0.96,0.022,1
Li24 (GAT),C26,recall,0.983,0.013,0
Li24 (GAT),C26,f1,0.971,0.012,1
Li24 (GCN),C26,precision,0.96,0.026,1
Li24 (GCN),C26,recall,0.976,0.022,0
Li24 (GCN),C26,f1,0.967,0.012,0
MoGCN,C26,precision,0.922,0.033,0
MoGCN,C26,recall,0.996,0.01,0
MoGCN,C26,f1,0.957,0.02,0
MOGNN-TF (GAT),C26,precision,0.942,0.04,0
MOGNN-TF (GAT),C26,recall,0.98,0.02,0
MOGNN-TF (GAT),C26,f1,0.96,0.018,0
MOGNN-TF (GCN),C26,precision,0.947,0.041,0
MOGNN-TF (GCN),C26,recall,0.997,0.006,1
MOGNN-TF (GCN),C26,f1,0.971,0.021,1
Li24 (GAT),C27,precision,0.763,0.035,0
Li24 (GAT),C27,recall,0.789,0.051,0
Li24 (GAT),C27,f1,0.775,0.029,0
Li24 (GCN),C27,precision,0.799,0.03,0
Li24 (GCN),C27,recall,0.821,0.048,0
Li24 (GCN),C27,f1,0.809,0.023,1
MoGCN,C27,precision,0.71,0.026,0
MoGCN,C27,recall,0.845,0.025,1
MoGCN,C27,f1,0.771,0.023,0
MOGNN-TF (GAT),C27,precision,0.82,0.057,1
MOGNN-TF (GAT),C27,recall,0.774,0.07,0
MOGNN-TF (GAT),C27,f1,0.793,0.028,0
MOGNN-TF (GCN),C27,precision,0.8,0.054,0
MOGNN-TF (GCN),C27,recall,0.824,0.053,0
MOGNN-TF (GCN),C27,f1,0.809,0.027,1
Li24 (GAT),C28,precision,0.965,0.015,0
Li24 (GAT),C28,recall,0.982,0.014,0
Li24 (GAT),C28,f1,0.973,0.006,0
Li24 (GCN),C28,precision,0.959,0.016,0
Li24 (GCN),C28,recall,0.983,0.013,1
Li24 (GCN),C28,f1,0.97,0.007,0
MoGCN,C28,precision,0.943,0.019,0
MoGCN,C28,recall,0.977,0.014,0
MoGCN,C28,f1,0.959,0.011,0
MOGNN-TF (GAT),C28,precision,0.969,0.018,1
MOGNN-TF (GAT),C28,recall,0.98,0.01,0
MOGNN-TF (GAT),C28,f1,0.975,0.008,1
MOGNN-TF (GCN),C28,precision,0.967,0.022,0
MOGNN-TF (GCN),C28,recall,0.983,0.012,1
MOGNN-TF (GCN),C28,f1,0.975,0.011,1
